RecordType,Category,Amount,EmployeeRole,Shift,ContractType,Campaign,Service,ProjectedExpense,ActualExpense,CustomerType,FoodSegment,VisitDateTime
Marketing Spend,Advertising,5443.73,,,,Spring Promo,,,,First-timer,Wine,8/16/2024
Variable Cost,Marketing Campaign,2566.83,,,,,,,,Seldom,Continental,05-08-2024
Marketing Spend,Advertising,4304.7,,,,Spring Promo,,,,Regular,Snacks,02-04-2025
Projected vs Actual,Expense Monitoring,,,,,,,1391.39,421.2900000000001,Regular,Irish,8/31/2024
Fixed Cost,Insurance,2113.28,,,,,,,,Seldom,Continental,03-03-2025
Employee Salary,Payroll,3840.97,Server,Evening,Part-time,,,,,Regular,Irish,08-12-2024
Marketing Spend,Advertising,2966.3,,,,New Menu Launch,,,,Tourist,Snacks,11/15/2024
Fixed Cost,Rent,2154.46,,,,,,,,Tourist,Snacks,8/28/2024
Employee Salary,Payroll,4615.92,Chef,Evening,Contract,,,,,First-timer,Snacks,7/31/2024
Variable Cost,Inventory Purchase,7385.43,,,,,,,,First-timer,Continental,1/17/2025
Projected vs Actual,Expense Monitoring,,,,,,,6972.72,6935.490000000001,Seldom,Irish,11/14/2024
Projected vs Actual,Expense Monitoring,,,,,,,4124.84,3796.78,Seldom,Irish,9/13/2024
Projected vs Actual,Expense Monitoring,,,,,,,3502.41,3235.4,First-timer,Snacks,7/22/2024
Fixed Cost,Utilities,4127.07,,,,,,,,Regular,Continental,9/21/2024
Projected vs Actual,Expense Monitoring,,,,,,,5962.9,6250.4,Seldom,Irish,11-01-2024
Tech Fee,Tech Services,65.53,,,,,Website Hosting,,,Seldom,Snacks,10-10-2024
Tech Fee,Tech Services,395.8,,,,,Website Hosting,,,Tourist,Snacks,12/23/2024
Variable Cost,Marketing Campaign,7150.66,,,,,,,,Seldom,Continental,1/19/2025
Projected vs Actual,Expense Monitoring,,,,,,,2073.99,2272.19,Tourist,Wine,7/25/2024
Tech Fee,Tech Services,76.18,,,,,CRM Platform,,,Regular,Irish,09-11-2024
Variable Cost,Inventory Purchase,7234.58,,,,,,,,Regular,Wine,12/24/2024
Variable Cost,Marketing Campaign,4286.48,,,,,,,,Tourist,Snacks,08-03-2024
Variable Cost,Marketing Campaign,3717.97,,,,,,,,First-timer,Continental,10/18/2024
Tech Fee,Tech Services,74.71,,,,,Website Hosting,,,Seldom,Snacks,9/25/2024
Tech Fee,Tech Services,175.53,,,,,Website Hosting,,,Regular,Irish,8/24/2024
Tech Fee,Tech Services,87.92,,,,,Website Hosting,,,Regular,Wine,4/15/2024
Variable Cost,Inventory Purchase,7217.18,,,,,,,,Regular,Continental,05-02-2024
Marketing Spend,Advertising,6788.68,,,,New Menu Launch,,,,First-timer,Snacks,6/29/2024
Tech Fee,Tech Services,149.11,,,,,CRM Platform,,,First-timer,Wine,11/19/2024
Fixed Cost,Rent,3842.29,,,,,,,,Seldom,Wine,6/15/2024
Fixed Cost,Insurance,2631.06,,,,,,,,Tourist,Continental,2/22/2025
Marketing Spend,Advertising,6523.61,,,,Spring Promo,,,,Seldom,Wine,2/17/2025
Projected vs Actual,Expense Monitoring,,,,,,,7726.13,8546.67,First-timer,Wine,12-05-2024
Marketing Spend,Advertising,4142.79,,,,New Menu Launch,,,,Regular,Snacks,04-10-2024
Fixed Cost,Utilities,3894.04,,,,,,,,Regular,Continental,03-10-2025
Projected vs Actual,Expense Monitoring,,,,,,,3886.22,4763.16,Tourist,Snacks,9/16/2024
Projected vs Actual,Expense Monitoring,,,,,,,7608.78,7343.049999999999,Regular,Irish,2/28/2025
Variable Cost,Marketing Campaign,2850.55,,,,,,,,First-timer,Continental,10-06-2024
Tech Fee,Tech Services,322.22,,,,,CRM Platform,,,Seldom,Continental,2/15/2025
Tech Fee,Tech Services,289.36,,,,,CRM Platform,,,Seldom,Snacks,3/31/2024
Employee Salary,Payroll,3747.54,Manager,Evening,Contract,,,,,Regular,Irish,2/26/2025
Marketing Spend,Advertising,4060.88,,,,New Menu Launch,,,,First-timer,Irish,09-11-2024
Variable Cost,Inventory Purchase,9531.39,,,,,,,,Tourist,Wine,12/20/2024
Variable Cost,Marketing Campaign,6236.99,,,,,,,,Tourist,Continental,07-09-2024
Tech Fee,Tech Services,472.36,,,,,Website Hosting,,,Seldom,Irish,9/20/2024
Tech Fee,Tech Services,55.48,,,,,Website Hosting,,,Regular,Wine,10-06-2024
Marketing Spend,Advertising,2167.6,,,,Spring Promo,,,,Seldom,Snacks,12/18/2024
Tech Fee,Tech Services,171.41,,,,,Website Hosting,,,Regular,Snacks,5/21/2024
Marketing Spend,Advertising,3193.01,,,,Summer Happy Hour,,,,Seldom,Snacks,4/25/2024
Projected vs Actual,Expense Monitoring,,,,,,,5545.35,5319.610000000001,First-timer,Continental,8/17/2024
Marketing Spend,Advertising,1330.16,,,,Summer Happy Hour,,,,Seldom,Wine,1/17/2025
Marketing Spend,Advertising,5244.28,,,,Christmas Special,,,,Tourist,Continental,09-04-2024
Tech Fee,Tech Services,350.11,,,,,CRM Platform,,,Seldom,Continental,5/18/2024
Marketing Spend,Advertising,4198.99,,,,Christmas Special,,,,Seldom,Continental,7/22/2024
Fixed Cost,Insurance,2679.2,,,,,,,,First-timer,Snacks,9/18/2024
Variable Cost,Marketing Campaign,4968.73,,,,,,,,Regular,Continental,07-01-2024
Marketing Spend,Advertising,5065.44,,,,Spring Promo,,,,Tourist,Continental,5/14/2024
Variable Cost,Inventory Purchase,3106.96,,,,,,,,Seldom,Continental,12/16/2024
Variable Cost,Inventory Purchase,5721.5,,,,,,,,Tourist,Continental,10/20/2024
Employee Salary,Payroll,4000.37,Server,Night,Contract,,,,,Tourist,Snacks,3/14/2024
Marketing Spend,Advertising,3500.35,,,,Summer Happy Hour,,,,Tourist,Snacks,05-05-2024
Tech Fee,Tech Services,477.78,,,,,Website Hosting,,,Tourist,Continental,09-09-2024
Employee Salary,Payroll,4639.29,Manager,Night,Part-time,,,,,Regular,Wine,02-01-2025
Employee Salary,Payroll,3701.62,Bartender,Night,Part-time,,,,,First-timer,Snacks,02-02-2025
Projected vs Actual,Expense Monitoring,,,,,,,1097.31,1264.1799999999998,Regular,Wine,03-08-2025
Fixed Cost,Utilities,2682.82,,,,,,,,First-timer,Irish,1/15/2025
Projected vs Actual,Expense Monitoring,,,,,,,1434.61,2149.92,First-timer,Wine,07-10-2024
Fixed Cost,Utilities,2459.59,,,,,,,,Seldom,Continental,07-04-2024
Tech Fee,Tech Services,359.12,,,,,Website Hosting,,,Tourist,Snacks,11/27/2024
Marketing Spend,Advertising,1397.85,,,,Summer Happy Hour,,,,Tourist,Wine,6/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,6133.6,7000.35,Regular,Wine,5/30/2024
Projected vs Actual,Expense Monitoring,,,,,,,740.82,1028.56,Regular,Continental,4/28/2024
Marketing Spend,Advertising,5364.51,,,,New Menu Launch,,,,First-timer,Wine,7/13/2024
Employee Salary,Payroll,2330.63,Manager,Morning,Part-time,,,,,Tourist,Continental,5/16/2024
Employee Salary,Payroll,2717.29,Bartender,Evening,Part-time,,,,,First-timer,Wine,11-11-2024
Projected vs Actual,Expense Monitoring,,,,,,,2451.59,1805.6800000000003,Tourist,Continental,01-07-2025
Marketing Spend,Advertising,282.03,,,,New Menu Launch,,,,First-timer,Wine,08-09-2024
Employee Salary,Payroll,3317.52,Chef,Morning,Contract,,,,,Seldom,Snacks,4/19/2024
Projected vs Actual,Expense Monitoring,,,,,,,2526.87,2536.15,Regular,Wine,9/15/2024
Employee Salary,Payroll,4837.52,Server,Morning,Full-time,,,,,First-timer,Wine,05-08-2024
Employee Salary,Payroll,4079.97,Bartender,Morning,Full-time,,,,,First-timer,Irish,7/16/2024
Tech Fee,Tech Services,283.65,,,,,Website Hosting,,,Seldom,Irish,09-03-2024
Fixed Cost,Rent,1512.04,,,,,,,,Seldom,Continental,11-05-2024
Variable Cost,Inventory Purchase,7664.52,,,,,,,,Tourist,Snacks,07-04-2024
Employee Salary,Payroll,4028.6,Cleaner,Night,Contract,,,,,Tourist,Snacks,2/23/2025
Marketing Spend,Advertising,5707.41,,,,Spring Promo,,,,Regular,Snacks,8/24/2024
Marketing Spend,Advertising,6345.62,,,,Christmas Special,,,,Regular,Wine,11/21/2024
Tech Fee,Tech Services,286.22,,,,,Website Hosting,,,Seldom,Continental,10/27/2024
Variable Cost,Marketing Campaign,4531.48,,,,,,,,Seldom,Continental,09-09-2024
Projected vs Actual,Expense Monitoring,,,,,,,4450.77,4084.2,Tourist,Irish,07-02-2024
Fixed Cost,Utilities,669.86,,,,,,,,First-timer,Irish,9/29/2024
Tech Fee,Tech Services,153.48,,,,,Website Hosting,,,Tourist,Wine,10-05-2024
Tech Fee,Tech Services,159.47,,,,,CRM Platform,,,Tourist,Irish,7/30/2024
Marketing Spend,Advertising,5251.78,,,,Spring Promo,,,,Tourist,Continental,9/23/2024
Employee Salary,Payroll,1768.69,Bartender,Morning,Full-time,,,,,First-timer,Irish,02-04-2025
Projected vs Actual,Expense Monitoring,,,,,,,2777.91,3743.8,Regular,Wine,3/25/2024
Marketing Spend,Advertising,3206.65,,,,Summer Happy Hour,,,,Seldom,Wine,11/30/2024
Employee Salary,Payroll,1084.69,Chef,Evening,Part-time,,,,,Tourist,Wine,8/24/2024
Marketing Spend,Advertising,5089.15,,,,Christmas Special,,,,Tourist,Snacks,05-05-2024
Projected vs Actual,Expense Monitoring,,,,,,,3620.89,2654.71,Seldom,Wine,09-04-2024
Fixed Cost,Utilities,783.93,,,,,,,,Tourist,Snacks,9/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,2202.51,1645.0600000000002,Regular,Continental,01-03-2025
Marketing Spend,Advertising,2729.56,,,,New Menu Launch,,,,First-timer,Wine,07-10-2024
Fixed Cost,Insurance,4225.6,,,,,,,,First-timer,Wine,9/13/2024
Fixed Cost,Insurance,3151.03,,,,,,,,Tourist,Wine,05-08-2024
Fixed Cost,Rent,1585.43,,,,,,,,First-timer,Irish,7/19/2024
Fixed Cost,Utilities,4874.43,,,,,,,,Regular,Continental,08-03-2024
Variable Cost,Marketing Campaign,9816.02,,,,,,,,Tourist,Wine,1/15/2025
Fixed Cost,Utilities,3663.64,,,,,,,,First-timer,Wine,08-05-2024
Projected vs Actual,Expense Monitoring,,,,,,,3058.27,3141.46,Regular,Wine,11-06-2024
Employee Salary,Payroll,2849.96,Bartender,Evening,Full-time,,,,,Seldom,Irish,09-03-2024
Tech Fee,Tech Services,178.19,,,,,CRM Platform,,,Regular,Irish,8/24/2024
Employee Salary,Payroll,1686.78,Chef,Evening,Part-time,,,,,Seldom,Irish,08-04-2024
Variable Cost,Marketing Campaign,6164.67,,,,,,,,Tourist,Snacks,3/14/2024
Tech Fee,Tech Services,54.74,,,,,Website Hosting,,,Regular,Continental,05-07-2024
Variable Cost,Inventory Purchase,6861.88,,,,,,,,Tourist,Snacks,01-10-2025
Projected vs Actual,Expense Monitoring,,,,,,,5888.98,5034.92,First-timer,Continental,01-03-2025
Tech Fee,Tech Services,271.87,,,,,Website Hosting,,,Regular,Continental,05-02-2024
Projected vs Actual,Expense Monitoring,,,,,,,616.72,908.65,Tourist,Wine,09-05-2024
Variable Cost,Marketing Campaign,1164.86,,,,,,,,Regular,Continental,12/17/2024
Marketing Spend,Advertising,468.27,,,,Spring Promo,,,,Seldom,Snacks,8/17/2024
Marketing Spend,Advertising,1010.75,,,,Spring Promo,,,,Seldom,Irish,12/24/2024
Marketing Spend,Advertising,4056.71,,,,Summer Happy Hour,,,,Regular,Wine,5/24/2024
Variable Cost,Inventory Purchase,4746.1,,,,,,,,Tourist,Wine,10/30/2024
Tech Fee,Tech Services,216.57,,,,,Website Hosting,,,Seldom,Wine,09-02-2024
Marketing Spend,Advertising,6279.93,,,,Summer Happy Hour,,,,Seldom,Irish,3/15/2024
Variable Cost,Inventory Purchase,8561.99,,,,,,,,First-timer,Continental,9/14/2024
Marketing Spend,Advertising,3465.73,,,,New Menu Launch,,,,First-timer,Snacks,1/17/2025
Tech Fee,Tech Services,272.57,,,,,Website Hosting,,,Regular,Snacks,07-10-2024
Marketing Spend,Advertising,1952.07,,,,Spring Promo,,,,Seldom,Continental,6/28/2024
Projected vs Actual,Expense Monitoring,,,,,,,2238.43,3041.23,Tourist,Irish,9/13/2024
Fixed Cost,Insurance,2990.89,,,,,,,,First-timer,Wine,07-06-2024
Variable Cost,Marketing Campaign,4174.48,,,,,,,,Seldom,Wine,08-12-2024
Projected vs Actual,Expense Monitoring,,,,,,,7366.08,6617.31,Seldom,Irish,10/29/2024
Marketing Spend,Advertising,2543.02,,,,Christmas Special,,,,Seldom,Continental,5/17/2024
Projected vs Actual,Expense Monitoring,,,,,,,3963.76,3006.1400000000003,Regular,Wine,01-10-2025
Fixed Cost,Rent,2640.29,,,,,,,,Regular,Snacks,12/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,1882.49,1012.16,Regular,Wine,8/13/2024
Variable Cost,Inventory Purchase,4331.68,,,,,,,,Regular,Wine,03-05-2025
Projected vs Actual,Expense Monitoring,,,,,,,5956.95,6315.58,Regular,Continental,03-06-2025
Variable Cost,Marketing Campaign,2579.39,,,,,,,,Tourist,Irish,03-02-2025
Projected vs Actual,Expense Monitoring,,,,,,,5300.37,5289.96,First-timer,Continental,3/16/2024
Employee Salary,Payroll,1544.93,Manager,Night,Full-time,,,,,Seldom,Irish,9/13/2024
Variable Cost,Inventory Purchase,3082.13,,,,,,,,Regular,Continental,08-12-2024
Marketing Spend,Advertising,6242.77,,,,Summer Happy Hour,,,,First-timer,Snacks,11/15/2024
Tech Fee,Tech Services,384.63,,,,,CRM Platform,,,Tourist,Wine,8/24/2024
Tech Fee,Tech Services,350.24,,,,,CRM Platform,,,First-timer,Wine,07-02-2024
Employee Salary,Payroll,1688.4,Server,Night,Contract,,,,,Seldom,Continental,7/22/2024
Marketing Spend,Advertising,2385.94,,,,Christmas Special,,,,Seldom,Wine,09-03-2024
Tech Fee,Tech Services,142.33,,,,,Website Hosting,,,Regular,Continental,08-12-2024
Employee Salary,Payroll,4404.83,Cleaner,Morning,Contract,,,,,First-timer,Snacks,6/29/2024
Variable Cost,Marketing Campaign,9072.91,,,,,,,,Regular,Continental,12/22/2024
Tech Fee,Tech Services,276.04,,,,,Website Hosting,,,Tourist,Snacks,3/21/2024
Marketing Spend,Advertising,4996.59,,,,Spring Promo,,,,Tourist,Snacks,2/23/2025
Variable Cost,Inventory Purchase,2459.05,,,,,,,,First-timer,Irish,7/19/2024
Tech Fee,Tech Services,440.58,,,,,CRM Platform,,,Seldom,Continental,4/16/2024
Tech Fee,Tech Services,262.84,,,,,CRM Platform,,,Tourist,Continental,7/17/2024
Fixed Cost,Insurance,3232.53,,,,,,,,First-timer,Irish,01-03-2025
Fixed Cost,Rent,1987.7,,,,,,,,Seldom,Wine,10-08-2024
Employee Salary,Payroll,4874.77,Bartender,Night,Part-time,,,,,Regular,Wine,8/28/2024
Marketing Spend,Advertising,2559.92,,,,Christmas Special,,,,Tourist,Continental,11/23/2024
Fixed Cost,Rent,1735.58,,,,,,,,Tourist,Snacks,02-02-2025
Marketing Spend,Advertising,1655.25,,,,Summer Happy Hour,,,,First-timer,Snacks,4/30/2024
Marketing Spend,Advertising,2363.59,,,,Christmas Special,,,,Seldom,Wine,11-06-2024
Projected vs Actual,Expense Monitoring,,,,,,,4324.49,3584.01,Regular,Snacks,10-02-2024
Variable Cost,Inventory Purchase,1082.37,,,,,,,,Regular,Wine,2/26/2025
Fixed Cost,Utilities,3645.62,,,,,,,,First-timer,Snacks,11/14/2024
Fixed Cost,Rent,4068.54,,,,,,,,Regular,Continental,08-03-2024
Variable Cost,Marketing Campaign,6696.07,,,,,,,,Regular,Irish,10-08-2024
Projected vs Actual,Expense Monitoring,,,,,,,4260.47,5007.24,Regular,Irish,9/28/2024
Employee Salary,Payroll,3057.92,Chef,Morning,Contract,,,,,First-timer,Irish,01-12-2025
Tech Fee,Tech Services,466.79,,,,,CRM Platform,,,First-timer,Continental,6/15/2024
Marketing Spend,Advertising,6689.71,,,,Christmas Special,,,,Regular,Irish,09-02-2024
Tech Fee,Tech Services,74.3,,,,,CRM Platform,,,First-timer,Wine,7/24/2024
Marketing Spend,Advertising,5729.38,,,,Summer Happy Hour,,,,First-timer,Wine,05-08-2024
Employee Salary,Payroll,3876.13,Server,Night,Full-time,,,,,First-timer,Continental,02-12-2025
Fixed Cost,Insurance,685.48,,,,,,,,Seldom,Snacks,09-10-2024
Employee Salary,Payroll,3414.91,Manager,Morning,Part-time,,,,,Regular,Continental,12-05-2024
Projected vs Actual,Expense Monitoring,,,,,,,3728.16,3547.2,Seldom,Snacks,5/28/2024
Fixed Cost,Utilities,4230.18,,,,,,,,Regular,Irish,8/31/2024
Tech Fee,Tech Services,98.66,,,,,CRM Platform,,,Regular,Irish,12/16/2024
Tech Fee,Tech Services,94.4,,,,,Website Hosting,,,Regular,Wine,01-04-2025
Projected vs Actual,Expense Monitoring,,,,,,,5508.33,4627.01,Tourist,Continental,09-09-2024
Projected vs Actual,Expense Monitoring,,,,,,,7123.4,7277.48,Regular,Wine,07-04-2024
Projected vs Actual,Expense Monitoring,,,,,,,4130.29,5086.83,Seldom,Snacks,9/25/2024
Marketing Spend,Advertising,2641.68,,,,Spring Promo,,,,Tourist,Continental,2/20/2025
Projected vs Actual,Expense Monitoring,,,,,,,2382.4,2859.37,Regular,Irish,10-08-2024
Employee Salary,Payroll,1310.53,Bartender,Evening,Part-time,,,,,First-timer,Wine,7/29/2024
Tech Fee,Tech Services,51.61,,,,,Website Hosting,,,Regular,Wine,8/28/2024
Employee Salary,Payroll,3581.28,Manager,Night,Contract,,,,,First-timer,Irish,08-07-2024
Marketing Spend,Advertising,2223.32,,,,New Menu Launch,,,,Seldom,Wine,8/31/2024
Fixed Cost,Rent,1367.61,,,,,,,,First-timer,Irish,7/16/2024
Tech Fee,Tech Services,473.14,,,,,Website Hosting,,,First-timer,Snacks,12/20/2024
Variable Cost,Marketing Campaign,2312.59,,,,,,,,First-timer,Snacks,7/31/2024
Fixed Cost,Insurance,2402.41,,,,,,,,Tourist,Snacks,4/22/2024
Tech Fee,Tech Services,164.21,,,,,CRM Platform,,,First-timer,Continental,5/14/2024
Fixed Cost,Utilities,1398.78,,,,,,,,Tourist,Irish,7/21/2024
Variable Cost,Marketing Campaign,8143.32,,,,,,,,Regular,Snacks,2/27/2025
Fixed Cost,Insurance,2978.34,,,,,,,,Regular,Snacks,6/23/2024
Variable Cost,Marketing Campaign,6173.11,,,,,,,,Regular,Continental,10-06-2024
Tech Fee,Tech Services,200.13,,,,,Website Hosting,,,Tourist,Snacks,4/22/2024
Employee Salary,Payroll,2000.23,Manager,Night,Full-time,,,,,Tourist,Snacks,8/28/2024
Projected vs Actual,Expense Monitoring,,,,,,,6353.9,5927.53,Regular,Irish,05-02-2024
Projected vs Actual,Expense Monitoring,,,,,,,1449.08,1580.37,Seldom,Irish,4/23/2024
Projected vs Actual,Expense Monitoring,,,,,,,3916.03,4575.07,Seldom,Snacks,11/15/2024
Fixed Cost,Utilities,4430.63,,,,,,,,Regular,Wine,12/17/2024
Projected vs Actual,Expense Monitoring,,,,,,,7455.67,7497.65,First-timer,Snacks,12/27/2024
Variable Cost,Marketing Campaign,5825.46,,,,,,,,Seldom,Wine,10/25/2024
Marketing Spend,Advertising,5403.04,,,,Christmas Special,,,,Seldom,Irish,02-11-2025
Fixed Cost,Rent,825.57,,,,,,,,Regular,Wine,8/23/2024
Projected vs Actual,Expense Monitoring,,,,,,,5395.7,5934.49,Seldom,Snacks,5/19/2024
Projected vs Actual,Expense Monitoring,,,,,,,5253.34,6013.6,Regular,Continental,8/18/2024
Employee Salary,Payroll,2321.52,Bartender,Morning,Full-time,,,,,Regular,Wine,12/16/2024
Variable Cost,Inventory Purchase,3527.13,,,,,,,,Tourist,Wine,6/20/2024
Marketing Spend,Advertising,5694.93,,,,Summer Happy Hour,,,,Seldom,Continental,11-06-2024
Tech Fee,Tech Services,486.77,,,,,Website Hosting,,,Tourist,Continental,09-04-2024
Projected vs Actual,Expense Monitoring,,,,,,,4274.21,4203.78,Regular,Irish,04-08-2024
Employee Salary,Payroll,1713.59,Bartender,Night,Contract,,,,,Regular,Irish,07-10-2024
Tech Fee,Tech Services,416.31,,,,,Website Hosting,,,First-timer,Irish,08-07-2024
Marketing Spend,Advertising,5562.36,,,,Summer Happy Hour,,,,Tourist,Irish,3/22/2024
Variable Cost,Marketing Campaign,4400.79,,,,,,,,Seldom,Snacks,11/26/2024
Employee Salary,Payroll,4300.86,Cleaner,Night,Contract,,,,,First-timer,Snacks,10-12-2024
Tech Fee,Tech Services,189.29,,,,,CRM Platform,,,Tourist,Snacks,12-07-2024
Marketing Spend,Advertising,1872.75,,,,New Menu Launch,,,,First-timer,Snacks,11/15/2024
Fixed Cost,Rent,3408.81,,,,,,,,Regular,Irish,12-03-2024
Marketing Spend,Advertising,5963.0,,,,New Menu Launch,,,,Seldom,Snacks,4/19/2024
Employee Salary,Payroll,4877.0,Chef,Morning,Full-time,,,,,Seldom,Continental,03-04-2025
Fixed Cost,Insurance,1380.5,,,,,,,,First-timer,Irish,07-10-2024
Variable Cost,Inventory Purchase,1615.82,,,,,,,,Seldom,Continental,11/20/2024
Marketing Spend,Advertising,485.4,,,,Summer Happy Hour,,,,Seldom,Continental,04-04-2024
Fixed Cost,Insurance,3033.05,,,,,,,,Regular,Irish,11-07-2024
Tech Fee,Tech Services,82.59,,,,,CRM Platform,,,Seldom,Continental,5/18/2024
Marketing Spend,Advertising,1516.09,,,,New Menu Launch,,,,Tourist,Irish,7/14/2024
Tech Fee,Tech Services,222.26,,,,,Website Hosting,,,Regular,Irish,09-05-2024
Marketing Spend,Advertising,3846.83,,,,Christmas Special,,,,First-timer,Snacks,2/26/2025
Projected vs Actual,Expense Monitoring,,,,,,,4098.29,4589.77,Seldom,Wine,12/29/2024
Tech Fee,Tech Services,181.81,,,,,CRM Platform,,,Tourist,Wine,09-02-2024
Tech Fee,Tech Services,386.03,,,,,Website Hosting,,,Seldom,Continental,03-03-2025
Variable Cost,Marketing Campaign,8393.52,,,,,,,,First-timer,Wine,11/19/2024
Marketing Spend,Advertising,763.9,,,,Christmas Special,,,,Seldom,Irish,11-01-2024
Fixed Cost,Utilities,2623.72,,,,,,,,Tourist,Snacks,11/27/2024
Variable Cost,Marketing Campaign,3695.57,,,,,,,,First-timer,Continental,9/26/2024
Employee Salary,Payroll,4291.0,Server,Night,Contract,,,,,Regular,Continental,03-02-2025
Variable Cost,Marketing Campaign,6272.04,,,,,,,,First-timer,Snacks,9/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,7796.42,7329.73,Tourist,Snacks,1/17/2025
Employee Salary,Payroll,2903.93,Bartender,Morning,Part-time,,,,,Regular,Irish,2/26/2025
Fixed Cost,Utilities,3780.06,,,,,,,,Tourist,Snacks,08-01-2024
Employee Salary,Payroll,2309.0,Cleaner,Night,Full-time,,,,,Regular,Snacks,11-11-2024
Variable Cost,Marketing Campaign,2768.16,,,,,,,,First-timer,Continental,10/25/2024
Projected vs Actual,Expense Monitoring,,,,,,,3277.4,2317.87,Tourist,Wine,2/13/2025
Fixed Cost,Insurance,2772.76,,,,,,,,Tourist,Snacks,01-03-2025
Projected vs Actual,Expense Monitoring,,,,,,,653.69,-312.69999999999993,Regular,Wine,1/13/2025
Projected vs Actual,Expense Monitoring,,,,,,,5720.26,6604.54,First-timer,Wine,11/13/2024
Fixed Cost,Insurance,734.4,,,,,,,,Regular,Irish,05-12-2024
Projected vs Actual,Expense Monitoring,,,,,,,4790.75,5496.78,Tourist,Irish,6/25/2024
Fixed Cost,Insurance,1437.62,,,,,,,,Seldom,Snacks,9/30/2024
Projected vs Actual,Expense Monitoring,,,,,,,3765.77,3355.07,First-timer,Continental,1/30/2025
Marketing Spend,Advertising,3513.3,,,,Christmas Special,,,,Regular,Snacks,12-02-2024
Marketing Spend,Advertising,1910.29,,,,Spring Promo,,,,First-timer,Irish,5/24/2024
Employee Salary,Payroll,1329.37,Cleaner,Night,Contract,,,,,First-timer,Wine,9/28/2024
Fixed Cost,Insurance,966.79,,,,,,,,First-timer,Snacks,03-12-2024
Variable Cost,Marketing Campaign,6313.44,,,,,,,,Seldom,Irish,4/13/2024
Variable Cost,Marketing Campaign,2540.13,,,,,,,,Tourist,Snacks,08-01-2024
Marketing Spend,Advertising,1801.21,,,,Spring Promo,,,,First-timer,Continental,3/18/2024
Tech Fee,Tech Services,325.47,,,,,CRM Platform,,,Seldom,Snacks,10/14/2024
Variable Cost,Marketing Campaign,7497.02,,,,,,,,First-timer,Irish,04-05-2024
Projected vs Actual,Expense Monitoring,,,,,,,2735.31,1805.44,Tourist,Snacks,7/16/2024
Fixed Cost,Insurance,796.68,,,,,,,,Regular,Wine,01-04-2025
Fixed Cost,Insurance,779.57,,,,,,,,Regular,Wine,11/28/2024
Fixed Cost,Rent,2538.49,,,,,,,,Tourist,Wine,09-05-2024
Tech Fee,Tech Services,80.24,,,,,Website Hosting,,,First-timer,Continental,6/17/2024
Fixed Cost,Utilities,1252.1,,,,,,,,First-timer,Snacks,3/14/2024
Tech Fee,Tech Services,401.12,,,,,CRM Platform,,,Tourist,Wine,6/15/2024
Fixed Cost,Rent,1950.34,,,,,,,,First-timer,Wine,11/13/2024
Fixed Cost,Utilities,3829.08,,,,,,,,Seldom,Irish,10/20/2024
Variable Cost,Marketing Campaign,5388.48,,,,,,,,Seldom,Continental,11-06-2024
Projected vs Actual,Expense Monitoring,,,,,,,7940.95,7120.18,Tourist,Irish,11/16/2024
Tech Fee,Tech Services,421.99,,,,,Website Hosting,,,Tourist,Snacks,8/20/2024
Employee Salary,Payroll,4568.45,Bartender,Evening,Contract,,,,,Tourist,Continental,4/17/2024
Tech Fee,Tech Services,386.78,,,,,Website Hosting,,,Regular,Wine,05-11-2024
Projected vs Actual,Expense Monitoring,,,,,,,6901.1,6697.410000000001,Tourist,Continental,7/17/2024
Tech Fee,Tech Services,408.07,,,,,Website Hosting,,,Regular,Wine,5/30/2024
Tech Fee,Tech Services,51.43,,,,,CRM Platform,,,Tourist,Irish,8/15/2024
Variable Cost,Inventory Purchase,5962.02,,,,,,,,Seldom,Snacks,11/15/2024
Marketing Spend,Advertising,5812.05,,,,Summer Happy Hour,,,,Tourist,Continental,11/13/2024
Marketing Spend,Advertising,5417.49,,,,Spring Promo,,,,Regular,Snacks,1/26/2025
Fixed Cost,Utilities,2342.62,,,,,,,,First-timer,Continental,06-08-2024
Tech Fee,Tech Services,272.57,,,,,CRM Platform,,,Regular,Irish,1/16/2025
Employee Salary,Payroll,3174.38,Cleaner,Night,Contract,,,,,Seldom,Irish,9/13/2024
Employee Salary,Payroll,1292.21,Bartender,Night,Contract,,,,,Tourist,Irish,06-10-2024
Employee Salary,Payroll,4885.19,Server,Morning,Contract,,,,,Tourist,Irish,5/18/2024
Marketing Spend,Advertising,6716.11,,,,New Menu Launch,,,,First-timer,Snacks,11-01-2024
Variable Cost,Inventory Purchase,2387.26,,,,,,,,First-timer,Snacks,3/28/2024
Tech Fee,Tech Services,367.3,,,,,CRM Platform,,,Regular,Continental,8/28/2024
Fixed Cost,Insurance,2453.32,,,,,,,,First-timer,Continental,11/21/2024
Projected vs Actual,Expense Monitoring,,,,,,,4927.24,5187.25,Regular,Snacks,6/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,3948.88,3332.86,First-timer,Irish,04-04-2024
Marketing Spend,Advertising,2046.5,,,,Spring Promo,,,,First-timer,Snacks,12/22/2024
Employee Salary,Payroll,4294.9,Manager,Evening,Part-time,,,,,First-timer,Irish,8/31/2024
