InventoryItem,Category,StockLevel,UsagePerDay,ExpiryInDays,SpoilageRate,Supplier,SupplierLocation,OrganicOrLocal,CostPerUnit,DeliveryTimeDays,OrderFrequencyDays,LeadTimeDays,CustomerOrderTrend,WasteUnits
Onion Rings,Food ,406,22,4,0.13,Shannon Valley Produce,Limerick,No,18.09,6,14,4,209,51
Craft Beer,Beverages,333,3,12,0.03,Claddagh Provisions,Galway,Yes,14.58,1,14,7,132,2
Boxty,Food ,100,1,13,0.14,Claddagh Provisions,Galway,Yes,8.8,3,14,9,189,10
Onion Rings,Food ,67,16,6,0.13,Claddagh Provisions,Galway,Yes,9.89,1,7,2,27,3
Smithwick's,Beverages,88,5,28,0.04,Claddagh Provisions,Galway,Yes,12.79,6,7,5,185,2
Craft Beer,Beverages,11,1,19,0.04,Emerald Foods Ltd,Cork,Yes,18.34,6,30,4,178,0
Irish Nachos,Food ,436,1,29,0.01,Claddagh Provisions,Galway,Yes,10.91,1,30,1,53,4
Margherita Pizza,Food ,304,5,27,0.04,Claddagh Provisions,Galway,Yes,9.4,6,14,8,104,4
BBQ Chicken Pizza,Food ,10,13,12,0.11,Claddagh Provisions,Galway,Yes,15.16,5,14,5,160,0
Truffle Fries,Food ,230,4,23,0.01,Shannon Valley Produce,Limerick,No,14.45,3,3,2,46,2
Heineken,Beverages,168,9,21,0.04,Shannon Valley Produce,Limerick,No,8.27,1,14,6,80,4
Bread Pudding,Dessert ,425,16,4,0.15,Emerald Foods Ltd,Cork,Yes,16.04,1,7,4,137,49
Whiskey,Beverages,122,1,29,0.01,Green Isle Distributors,Dublin,No,8.44,3,3,3,217,0
Garlic Parmesan Fries,Food ,70,10,27,0.14,Shannon Valley Produce,Limerick,No,17.9,6,3,6,245,3
Irish Stew,Food ,447,23,7,0.06,Emerald Foods Ltd,Cork,Yes,6.4,4,3,3,30,2
Kilkenny,Beverages,253,2,28,0.08,Shannon Valley Produce,Limerick,No,15.0,6,7,4,85,17
Chardonnay,Beverages,498,14,18,0.06,Green Isle Distributors,Dublin,No,2.05,3,30,1,245,0
Heineken,Beverages,98,1,29,0.13,Green Isle Distributors,Dublin,No,15.48,6,3,8,210,0
BBQ Chicken Pizza,Food ,452,7,5,0.11,Shannon Valley Produce,Limerick,No,11.71,2,14,7,297,9
Irish Nachos,Food ,67,15,25,0.1,Claddagh Provisions,Galway,Yes,18.71,3,7,8,130,0
Spicy Wedges,Food ,343,16,25,0.07,Emerald Foods Ltd,Cork,Yes,19.64,5,3,6,192,3
Guinness,Beverages,412,9,22,0.09,Green Isle Distributors,Dublin,No,11.27,4,14,3,207,9
Spicy Wedges,Food ,282,10,4,0.14,Shannon Valley Produce,Limerick,No,7.02,1,30,2,183,28
Spicy Wedges,Food ,209,19,28,0.02,Claddagh Provisions,Galway,Yes,7.69,5,14,7,193,4
Kilkenny,Beverages,26,8,29,0.12,Shannon Valley Produce,Limerick,No,10.6,5,7,7,189,0
Irish Stew,Food ,481,16,12,0.08,Emerald Foods Ltd,Cork,Yes,12.96,4,14,6,218,32
Onion Rings,Food ,173,17,9,0.13,Emerald Foods Ltd,Cork,Yes,16.73,4,14,7,164,0
Truffle Mushroom Pizza,Food ,405,8,21,0.04,Green Isle Distributors,Dublin,No,9.41,1,30,6,72,12
Sticky Toffee Pudding,Dessert ,210,11,21,0.08,Claddagh Provisions,Galway,Yes,17.1,5,3,2,255,16
Kilkenny,Beverages,207,21,3,0.12,Emerald Foods Ltd,Cork,Yes,9.98,6,3,7,283,11
Onion Rings,Food ,61,17,14,0.11,Claddagh Provisions,Galway,Yes,12.47,5,3,2,169,1
Potato Skins,Food ,463,23,22,0.02,Connemara Supplies,Mayo,Yes,12.3,1,30,9,17,3
Potato Skins,Food ,93,15,9,0.1,Claddagh Provisions,Galway,Yes,10.53,5,7,6,45,2
Pinot Noir,Beverages,146,16,25,0.05,Green Isle Distributors,Dublin,No,8.05,2,3,7,81,0
Baileys Cheesecake,Dessert ,268,20,12,0.06,Claddagh Provisions,Galway,Yes,19.54,4,14,8,246,4
Irish Nachos,Food ,233,23,26,0.11,Claddagh Provisions,Galway,Yes,1.04,2,3,9,256,6
Margherita Pizza,Food ,310,6,18,0.15,Claddagh Provisions,Galway,Yes,4.67,2,7,5,136,46
Boxty,Food ,430,1,9,0.12,Emerald Foods Ltd,Cork,Yes,4.58,2,30,1,113,13
Onion Rings,Food ,424,4,8,0.02,Shannon Valley Produce,Limerick,No,6.32,3,14,4,21,5
Pepperoni Pizza,Food ,300,17,8,0.09,Green Isle Distributors,Dublin,No,17.23,5,30,5,243,12
Pepperoni Pizza,Food ,482,3,28,0.15,Emerald Foods Ltd,Cork,Yes,18.11,2,30,3,294,65
Craft Beer,Beverages,160,9,18,0.03,Green Isle Distributors,Dublin,No,14.21,6,14,3,148,2
Irish Stew,Food ,66,14,7,0.05,Connemara Supplies,Mayo,Yes,6.87,3,30,6,73,3
Pinot Noir,Beverages,81,19,18,0.12,Emerald Foods Ltd,Cork,Yes,15.83,3,7,2,138,0
Garlic Parmesan Fries,Food ,140,6,19,0.11,Connemara Supplies,Mayo,Yes,11.44,1,14,7,251,9
Sticky Toffee Pudding,Dessert ,253,17,13,0.09,Claddagh Provisions,Galway,Yes,6.88,2,30,4,189,16
Craft Beer,Beverages,256,18,25,0.12,Green Isle Distributors,Dublin,No,18.99,1,3,3,158,1
Irish Coffee,Beverages,374,16,17,0.04,Green Isle Distributors,Dublin,No,14.51,2,7,9,247,3
Corned Beef,Food ,182,11,19,0.13,Green Isle Distributors,Dublin,No,16.54,6,7,6,54,17
Garlic Parmesan Fries,Food ,210,6,16,0.08,Claddagh Provisions,Galway,Yes,7.95,6,3,1,222,16
Potato Skins,Food ,477,14,25,0.04,Emerald Foods Ltd,Cork,Yes,15.22,6,30,1,151,8
Corned Beef,Food ,301,6,9,0.04,Green Isle Distributors,Dublin,No,14.54,3,14,1,234,2
Garlic Parmesan Fries,Food ,56,22,28,0.11,Claddagh Provisions,Galway,Yes,13.56,1,30,5,261,6
Shepherd's Pie,Food ,163,14,3,0.08,Emerald Foods Ltd,Cork,Yes,7.03,2,7,3,213,5
Chardonnay,Beverages,241,4,21,0.12,Green Isle Distributors,Dublin,No,5.69,6,3,1,18,24
Irish Coffee,Beverages,294,19,5,0.14,Shannon Valley Produce,Limerick,No,18.92,6,14,1,238,4
Spicy Wedges,Food ,423,4,15,0.06,Claddagh Provisions,Galway,Yes,16.01,3,7,6,40,16
Garlic Parmesan Fries,Food ,94,20,6,0.1,Emerald Foods Ltd,Cork,Yes,15.9,6,3,3,289,5
Irish Nachos,Food ,337,2,10,0.03,Emerald Foods Ltd,Cork,Yes,13.96,4,7,3,263,10
Baileys Cheesecake,Dessert ,424,16,23,0.01,Claddagh Provisions,Galway,Yes,14.73,4,3,9,194,3
Craft Beer,Beverages,185,22,19,0.08,Connemara Supplies,Mayo,Yes,2.87,3,3,6,222,8
Spicy Wedges,Food ,472,4,10,0.12,Green Isle Distributors,Dublin,No,17.04,3,7,1,145,45
Baileys Cheesecake,Dessert ,262,24,7,0.1,Connemara Supplies,Mayo,Yes,3.7,2,30,3,45,17
Pinot Noir,Beverages,468,10,24,0.01,Shannon Valley Produce,Limerick,No,14.82,1,3,9,128,4
Garlic Parmesan Fries,Food ,291,2,8,0.09,Connemara Supplies,Mayo,Yes,8.78,4,30,5,34,19
Irish Nachos,Food ,331,9,15,0.05,Shannon Valley Produce,Limerick,No,10.65,6,3,7,103,3
Bread Pudding,Dessert ,412,23,29,0.1,Green Isle Distributors,Dublin,No,15.97,4,30,7,179,31
Potato Skins,Food ,147,21,14,0.05,Green Isle Distributors,Dublin,No,1.67,6,14,2,140,2
Margherita Pizza,Food ,376,2,8,0.14,Shannon Valley Produce,Limerick,No,12.21,3,14,9,38,2
Spicy Wedges,Food ,78,15,18,0.08,Claddagh Provisions,Galway,Yes,2.92,3,14,9,54,6
Sticky Toffee Pudding,Dessert ,248,18,6,0.15,Emerald Foods Ltd,Cork,Yes,7.08,1,30,1,224,14
Corned Beef,Food ,230,9,20,0.11,Emerald Foods Ltd,Cork,Yes,12.75,3,30,8,40,17
Irish Stew,Food ,289,3,18,0.11,Green Isle Distributors,Dublin,No,6.18,4,3,1,149,9
Heineken,Beverages,208,1,5,0.08,Green Isle Distributors,Dublin,No,19.02,2,14,1,250,9
Corned Beef,Food ,236,15,15,0.13,Emerald Foods Ltd,Cork,Yes,19.84,2,30,8,239,14
Truffle Mushroom Pizza,Food ,96,3,20,0.07,Emerald Foods Ltd,Cork,Yes,1.8,3,14,8,281,1
Corned Beef,Food ,28,17,20,0.11,Connemara Supplies,Mayo,Yes,6.81,2,7,3,22,1
Truffle Mushroom Pizza,Food ,269,12,8,0.09,Connemara Supplies,Mayo,Yes,1.8,5,7,6,126,14
Guinness,Beverages,23,7,9,0.08,Connemara Supplies,Mayo,Yes,11.04,3,14,5,149,0
Whiskey,Beverages,72,3,7,0.12,Shannon Valley Produce,Limerick,No,10.42,3,14,9,213,7
Irish Coffee,Beverages,346,23,4,0.07,Green Isle Distributors,Dublin,No,19.66,1,3,2,121,13
Boxty,Food ,319,7,22,0.15,Shannon Valley Produce,Limerick,No,9.6,4,7,4,194,47
Craft Beer,Beverages,371,24,19,0.02,Emerald Foods Ltd,Cork,Yes,1.59,5,7,5,16,1
Heineken,Beverages,292,24,20,0.11,Claddagh Provisions,Galway,Yes,3.65,4,7,4,25,10
Rioja,Beverages,356,20,5,0.04,Connemara Supplies,Mayo,Yes,7.99,4,14,7,271,13
Truffle Mushroom Pizza,Food ,395,19,9,0.1,Green Isle Distributors,Dublin,No,10.93,4,7,3,261,32
Pinot Noir,Beverages,101,2,4,0.13,Shannon Valley Produce,Limerick,No,4.08,3,30,1,242,0
Craft Beer,Beverages,335,16,11,0.07,Shannon Valley Produce,Limerick,No,12.09,2,14,3,37,22
Irish Stew,Food ,417,7,20,0.1,Shannon Valley Produce,Limerick,No,3.15,3,30,6,276,25
Sauvignon Blanc,Beverages,42,8,12,0.1,Claddagh Provisions,Galway,Yes,3.3,3,30,7,197,3
Irish Nachos,Food ,82,21,24,0.09,Connemara Supplies,Mayo,Yes,17.55,1,3,1,139,0
Truffle Mushroom Pizza,Food ,240,23,21,0.08,Emerald Foods Ltd,Cork,Yes,13.05,6,14,7,87,16
Sweet Potato Fries,Food ,218,1,19,0.02,Shannon Valley Produce,Limerick,No,17.68,5,3,9,238,3
Pepperoni Pizza,Food ,453,3,17,0.04,Emerald Foods Ltd,Cork,Yes,2.36,6,30,1,262,12
Shepherd's Pie,Food ,440,17,29,0.12,Green Isle Distributors,Dublin,No,4.62,2,14,6,197,18
Chardonnay,Beverages,366,3,24,0.08,Connemara Supplies,Mayo,Yes,3.05,5,30,3,196,18
Truffle Mushroom Pizza,Food ,237,6,17,0.1,Shannon Valley Produce,Limerick,No,15.42,3,30,2,101,7
Pinot Noir,Beverages,350,7,22,0.01,Emerald Foods Ltd,Cork,Yes,18.87,6,30,2,204,1
Garlic Parmesan Fries,Food ,368,12,28,0.07,Claddagh Provisions,Galway,Yes,14.64,2,3,5,229,15
Craft Beer,Beverages,375,12,23,0.04,Shannon Valley Produce,Limerick,No,17.67,1,7,3,26,2
Bread Pudding,Dessert ,472,24,20,0.07,Green Isle Distributors,Dublin,No,5.01,1,30,8,34,1
Truffle Mushroom Pizza,Food ,260,21,18,0.06,Green Isle Distributors,Dublin,No,13.51,5,7,7,124,13
Truffle Fries,Food ,57,19,17,0.09,Connemara Supplies,Mayo,Yes,3.48,3,30,8,169,3
Corned Beef,Food ,378,2,3,0.12,Shannon Valley Produce,Limerick,No,8.67,2,14,2,120,22
Truffle Mushroom Pizza,Food ,310,4,18,0.05,Green Isle Distributors,Dublin,No,5.85,5,7,8,288,9
Boxty,Food ,111,20,4,0.13,Emerald Foods Ltd,Cork,Yes,2.57,5,7,3,111,9
Truffle Fries,Food ,460,23,3,0.15,Shannon Valley Produce,Limerick,No,13.68,1,30,5,254,36
Irish Nachos,Food ,168,5,8,0.04,Connemara Supplies,Mayo,Yes,10.3,3,30,3,24,5
Irish Stew,Food ,186,11,9,0.02,Green Isle Distributors,Dublin,No,5.51,4,3,7,152,1
Truffle Mushroom Pizza,Food ,270,4,26,0.08,Claddagh Provisions,Galway,Yes,10.11,5,30,7,55,19
Heineken,Beverages,10,20,15,0.01,Shannon Valley Produce,Limerick,No,17.26,3,7,6,289,0
Craft Beer,Beverages,338,24,28,0.02,Claddagh Provisions,Galway,Yes,12.01,4,14,5,97,0
Truffle Mushroom Pizza,Food ,406,14,27,0.13,Connemara Supplies,Mayo,Yes,9.33,3,7,9,70,51
Irish Coffee,Beverages,105,14,13,0.11,Green Isle Distributors,Dublin,No,5.37,1,7,8,188,6
Irish Stew,Food ,396,11,15,0.12,Claddagh Provisions,Galway,Yes,11.78,2,14,4,43,37
Rioja,Beverages,189,18,27,0.04,Connemara Supplies,Mayo,Yes,3.94,3,7,8,11,7
Potato Skins,Food ,91,12,20,0.03,Emerald Foods Ltd,Cork,Yes,19.99,5,30,9,203,1
Craft Beer,Beverages,124,3,5,0.05,Emerald Foods Ltd,Cork,Yes,3.39,1,3,7,29,1
Sauvignon Blanc,Beverages,59,17,19,0.06,Shannon Valley Produce,Limerick,No,15.95,5,14,4,103,2
BBQ Chicken Pizza,Food ,128,2,22,0.07,Shannon Valley Produce,Limerick,No,3.32,3,14,2,79,4
Margherita Pizza,Food ,157,21,27,0.03,Green Isle Distributors,Dublin,No,13.91,4,30,7,68,2
Potato Skins,Food ,246,21,14,0.09,Emerald Foods Ltd,Cork,Yes,7.14,1,7,8,261,6
Irish Coffee,Beverages,23,8,18,0.02,Claddagh Provisions,Galway,Yes,12.62,3,30,6,41,0
Garlic Parmesan Fries,Food ,160,19,23,0.02,Connemara Supplies,Mayo,Yes,18.14,4,7,2,135,3
Pepperoni Pizza,Food ,416,7,9,0.07,Shannon Valley Produce,Limerick,No,4.27,6,14,3,32,3
BBQ Chicken Pizza,Food ,243,15,16,0.11,Connemara Supplies,Mayo,Yes,4.1,4,7,2,147,18
Rioja,Beverages,136,22,20,0.09,Shannon Valley Produce,Limerick,No,12.4,5,3,3,181,0
Shepherd's Pie,Food ,412,18,7,0.05,Emerald Foods Ltd,Cork,Yes,2.27,4,7,9,276,0
Pinot Noir,Beverages,203,6,22,0.15,Connemara Supplies,Mayo,Yes,5.32,2,7,5,267,3
Truffle Mushroom Pizza,Food ,403,19,26,0.1,Emerald Foods Ltd,Cork,Yes,13.4,4,14,1,140,37
Margherita Pizza,Food ,102,3,9,0.06,Emerald Foods Ltd,Cork,Yes,18.25,1,7,2,272,0
Irish Nachos,Food ,303,24,5,0.09,Connemara Supplies,Mayo,Yes,11.71,4,3,7,237,4
BBQ Chicken Pizza,Food ,186,24,14,0.08,Green Isle Distributors,Dublin,No,19.99,3,7,3,167,9
Smithwick's,Beverages,450,10,28,0.09,Shannon Valley Produce,Limerick,No,8.29,1,3,3,29,5
Irish Nachos,Food ,389,11,15,0.09,Connemara Supplies,Mayo,Yes,12.63,3,14,2,187,2
Irish Coffee,Beverages,83,11,18,0.13,Green Isle Distributors,Dublin,No,13.78,3,30,7,134,7
Truffle Fries,Food ,55,1,17,0.06,Connemara Supplies,Mayo,Yes,3.17,6,30,7,213,2
Irish Stew,Food ,330,10,17,0.09,Shannon Valley Produce,Limerick,No,19.33,5,30,6,213,3
Kilkenny,Beverages,425,6,7,0.02,Green Isle Distributors,Dublin,No,8.86,5,7,8,127,5
Sweet Potato Fries,Food ,113,16,27,0.03,Connemara Supplies,Mayo,Yes,6.79,6,14,5,93,1
Irish Stew,Food ,149,5,8,0.08,Connemara Supplies,Mayo,Yes,3.77,5,7,4,236,0
Pinot Noir,Beverages,397,6,23,0.11,Emerald Foods Ltd,Cork,Yes,9.76,4,7,3,220,14
Pinot Noir,Beverages,152,16,28,0.12,Green Isle Distributors,Dublin,No,12.32,3,7,9,214,8
Irish Stew,Food ,294,15,9,0.14,Emerald Foods Ltd,Cork,Yes,3.2,4,14,8,96,9
Potato Skins,Food ,454,16,15,0.06,Connemara Supplies,Mayo,Yes,19.41,5,7,7,180,1
Irish Nachos,Food ,465,3,5,0.08,Shannon Valley Produce,Limerick,No,2.69,4,7,4,51,9
Truffle Fries,Food ,172,12,15,0.02,Green Isle Distributors,Dublin,No,3.85,6,30,5,139,1
Bread Pudding,Dessert ,36,16,28,0.06,Connemara Supplies,Mayo,Yes,15.18,5,30,7,293,0
Baileys Cheesecake,Dessert ,253,18,16,0.12,Claddagh Provisions,Galway,Yes,3.98,5,14,2,11,0
Baileys Cheesecake,Dessert ,161,5,19,0.12,Claddagh Provisions,Galway,Yes,16.55,2,3,5,137,10
Sweet Potato Fries,Food ,363,8,21,0.14,Claddagh Provisions,Galway,Yes,19.1,1,3,1,136,25
Heineken,Beverages,215,14,4,0.06,Shannon Valley Produce,Limerick,No,6.15,5,14,5,296,0
Chardonnay,Beverages,87,23,7,0.08,Shannon Valley Produce,Limerick,No,8.01,4,30,3,204,6
Truffle Mushroom Pizza,Food ,311,14,26,0.1,Connemara Supplies,Mayo,Yes,19.41,4,30,8,75,7
Chardonnay,Beverages,311,14,12,0.14,Green Isle Distributors,Dublin,No,4.2,4,30,4,147,8
Sweet Potato Fries,Food ,234,13,29,0.14,Connemara Supplies,Mayo,Yes,19.32,6,30,9,33,31
Heineken,Beverages,282,6,26,0.01,Emerald Foods Ltd,Cork,Yes,1.87,6,14,9,188,0
Garlic Parmesan Fries,Food ,47,8,21,0.07,Claddagh Provisions,Galway,Yes,4.58,4,3,8,27,0
Chardonnay,Beverages,78,6,12,0.14,Claddagh Provisions,Galway,Yes,4.94,5,7,6,170,9
Rioja,Beverages,82,10,9,0.07,Emerald Foods Ltd,Cork,Yes,13.07,2,7,7,217,1
Shepherd's Pie,Food ,93,3,21,0.13,Green Isle Distributors,Dublin,No,17.2,2,3,4,111,2
Onion Rings,Food ,325,11,16,0.08,Shannon Valley Produce,Limerick,No,16.78,1,14,3,29,10
Irish Nachos,Food ,89,20,14,0.13,Connemara Supplies,Mayo,Yes,5.53,4,7,4,20,10
Heineken,Beverages,480,17,10,0.01,Claddagh Provisions,Galway,Yes,1.06,6,14,1,241,2
Craft Beer,Beverages,183,18,27,0.01,Green Isle Distributors,Dublin,No,11.92,1,14,1,278,1
Guinness,Beverages,272,22,23,0.02,Green Isle Distributors,Dublin,No,5.45,3,7,2,90,1
Sweet Potato Fries,Food ,450,21,20,0.07,Connemara Supplies,Mayo,Yes,3.17,3,3,7,297,1
Sauvignon Blanc,Beverages,426,13,13,0.03,Shannon Valley Produce,Limerick,No,19.35,4,7,2,164,0
BBQ Chicken Pizza,Food ,385,18,23,0.06,Emerald Foods Ltd,Cork,Yes,18.9,2,30,9,291,8
Kilkenny,Beverages,156,12,21,0.04,Shannon Valley Produce,Limerick,No,8.52,5,14,7,187,1
Sauvignon Blanc,Beverages,466,4,28,0.12,Green Isle Distributors,Dublin,No,10.31,4,14,2,90,32
Shepherd's Pie,Food ,223,3,25,0.14,Connemara Supplies,Mayo,Yes,8.8,5,30,1,76,4
BBQ Chicken Pizza,Food ,318,22,19,0.05,Claddagh Provisions,Galway,Yes,17.05,6,3,7,290,13
Shepherd's Pie,Food ,163,9,9,0.09,Emerald Foods Ltd,Cork,Yes,17.41,2,14,5,82,1
Kilkenny,Beverages,216,8,23,0.1,Connemara Supplies,Mayo,Yes,7.35,6,14,8,109,4
Shepherd's Pie,Food ,469,23,8,0.03,Emerald Foods Ltd,Cork,Yes,19.05,2,14,9,127,7
Rioja,Beverages,342,20,21,0.02,Connemara Supplies,Mayo,Yes,16.92,5,7,7,37,4
Margherita Pizza,Food ,156,24,5,0.02,Emerald Foods Ltd,Cork,Yes,3.63,3,30,5,142,1
Margherita Pizza,Food ,317,10,19,0.11,Green Isle Distributors,Dublin,No,14.28,5,3,5,243,31
Baileys Cheesecake,Dessert ,306,16,21,0.1,Connemara Supplies,Mayo,Yes,19.23,6,7,6,258,13
Onion Rings,Food ,278,16,5,0.02,Green Isle Distributors,Dublin,No,19.76,4,7,2,35,1
Irish Nachos,Food ,48,13,15,0.08,Connemara Supplies,Mayo,Yes,6.29,1,7,6,18,1
Bread Pudding,Dessert ,426,13,8,0.06,Claddagh Provisions,Galway,Yes,12.25,1,30,1,240,7
BBQ Chicken Pizza,Food ,54,8,22,0.06,Shannon Valley Produce,Limerick,No,15.99,6,30,2,148,2
Truffle Fries,Food ,238,5,8,0.12,Shannon Valley Produce,Limerick,No,9.89,2,30,6,260,5
Shepherd's Pie,Food ,478,16,6,0.07,Claddagh Provisions,Galway,Yes,13.93,5,30,3,35,5
Pinot Noir,Beverages,442,22,20,0.11,Connemara Supplies,Mayo,Yes,4.44,4,14,7,19,1
Heineken,Beverages,10,21,9,0.01,Shannon Valley Produce,Limerick,No,5.37,5,3,5,124,0
Rioja,Beverages,380,5,24,0.08,Connemara Supplies,Mayo,Yes,9.82,1,3,7,186,19
Sticky Toffee Pudding,Dessert ,434,13,3,0.08,Connemara Supplies,Mayo,Yes,7.78,4,3,9,30,7
Boxty,Food ,484,14,23,0.06,Connemara Supplies,Mayo,Yes,16.64,4,3,8,124,29
Pinot Noir,Beverages,345,15,6,0.09,Green Isle Distributors,Dublin,No,3.61,2,30,2,192,21
Irish Nachos,Food ,66,18,15,0.13,Green Isle Distributors,Dublin,No,6.72,2,7,2,202,5
Spicy Wedges,Food ,45,11,12,0.06,Connemara Supplies,Mayo,Yes,1.36,1,3,6,102,1
Craft Beer,Beverages,18,22,15,0.14,Claddagh Provisions,Galway,Yes,18.86,3,7,2,91,0
Whiskey,Beverages,142,3,11,0.08,Claddagh Provisions,Galway,Yes,11.2,3,3,3,26,6
Kilkenny,Beverages,478,17,12,0.05,Connemara Supplies,Mayo,Yes,4.76,1,7,2,139,16
Garlic Parmesan Fries,Food ,264,17,12,0.14,Green Isle Distributors,Dublin,No,9.49,2,3,1,64,3
Kilkenny,Beverages,214,7,27,0.08,Shannon Valley Produce,Limerick,No,5.97,3,7,5,169,4
Truffle Mushroom Pizza,Food ,436,1,23,0.1,Green Isle Distributors,Dublin,No,7.09,4,3,4,232,23
Whiskey,Beverages,216,12,9,0.1,Claddagh Provisions,Galway,Yes,8.76,4,7,8,237,11
Pepperoni Pizza,Food ,260,7,26,0.04,Green Isle Distributors,Dublin,No,6.69,5,14,4,100,2
Whiskey,Beverages,193,21,19,0.04,Green Isle Distributors,Dublin,No,8.32,6,30,8,232,7
Garlic Parmesan Fries,Food ,45,12,26,0.01,Emerald Foods Ltd,Cork,Yes,4.75,1,7,5,72,0
Irish Stew,Food ,102,19,7,0.1,Emerald Foods Ltd,Cork,Yes,19.52,2,3,2,57,4
Guinness,Beverages,315,20,23,0.13,Claddagh Provisions,Galway,Yes,5.72,1,30,7,111,0
Onion Rings,Food ,263,21,15,0.15,Emerald Foods Ltd,Cork,Yes,12.21,4,14,9,192,9
Shepherd's Pie,Food ,346,20,11,0.04,Connemara Supplies,Mayo,Yes,17.45,6,3,9,189,12
Boxty,Food ,142,5,24,0.14,Claddagh Provisions,Galway,Yes,8.49,5,7,9,171,19
Truffle Mushroom Pizza,Food ,469,9,3,0.07,Emerald Foods Ltd,Cork,Yes,16.0,1,30,6,203,4
BBQ Chicken Pizza,Food ,135,21,29,0.12,Emerald Foods Ltd,Cork,Yes,3.47,5,3,7,168,8
Chardonnay,Beverages,390,21,23,0.1,Claddagh Provisions,Galway,Yes,3.6,1,14,1,233,14
Irish Stew,Food ,73,10,12,0.04,Shannon Valley Produce,Limerick,No,15.95,6,30,7,256,2
Guinness,Beverages,499,18,24,0.1,Green Isle Distributors,Dublin,No,7.33,2,7,2,187,3
Pinot Noir,Beverages,247,20,6,0.03,Green Isle Distributors,Dublin,No,11.3,3,14,7,249,0
BBQ Chicken Pizza,Food ,473,11,11,0.14,Green Isle Distributors,Dublin,No,15.83,6,7,2,29,35
Truffle Fries,Food ,134,16,20,0.14,Connemara Supplies,Mayo,Yes,15.97,2,3,4,165,8
Margherita Pizza,Food ,194,10,24,0.07,Connemara Supplies,Mayo,Yes,16.68,4,3,8,204,7
Sauvignon Blanc,Beverages,196,18,15,0.07,Shannon Valley Produce,Limerick,No,16.05,6,30,4,15,6
Shepherd's Pie,Food ,269,3,10,0.11,Claddagh Provisions,Galway,Yes,16.96,1,7,2,233,1
Onion Rings,Food ,301,23,5,0.12,Green Isle Distributors,Dublin,No,19.14,4,14,4,104,6
Potato Skins,Food ,215,21,23,0.12,Connemara Supplies,Mayo,Yes,10.65,1,7,5,236,2
Smithwick's,Beverages,228,5,12,0.14,Connemara Supplies,Mayo,Yes,12.52,6,3,1,259,9
Bread Pudding,Dessert ,119,3,29,0.06,Shannon Valley Produce,Limerick,No,7.11,6,3,7,224,5
Craft Beer,Beverages,260,21,13,0.11,Green Isle Distributors,Dublin,No,11.5,6,14,1,105,11
Onion Rings,Food ,148,19,5,0.05,Green Isle Distributors,Dublin,No,10.92,1,30,8,166,6
Irish Stew,Food ,489,12,10,0.07,Green Isle Distributors,Dublin,No,8.13,2,30,2,15,11
Spicy Wedges,Food ,301,23,6,0.12,Connemara Supplies,Mayo,Yes,18.14,6,7,4,246,17
Margherita Pizza,Food ,156,6,4,0.12,Claddagh Provisions,Galway,Yes,6.26,2,7,7,19,2
Onion Rings,Food ,43,2,6,0.06,Claddagh Provisions,Galway,Yes,18.42,5,3,6,248,1
Margherita Pizza,Food ,95,16,12,0.12,Connemara Supplies,Mayo,Yes,16.59,6,3,8,294,5
Garlic Parmesan Fries,Food ,406,20,9,0.13,Shannon Valley Produce,Limerick,No,11.22,2,3,8,31,18
Garlic Parmesan Fries,Food ,293,5,6,0.07,Emerald Foods Ltd,Cork,Yes,12.01,5,3,8,123,1
Irish Coffee,Beverages,334,9,29,0.11,Connemara Supplies,Mayo,Yes,15.92,6,30,8,74,10
Heineken,Beverages,452,15,21,0.06,Emerald Foods Ltd,Cork,Yes,16.85,5,14,8,265,13
Rioja,Beverages,358,4,11,0.13,Connemara Supplies,Mayo,Yes,4.87,4,7,9,181,28
Shepherd's Pie,Food ,321,14,6,0.02,Green Isle Distributors,Dublin,No,13.96,5,14,9,38,6
Chardonnay,Beverages,150,10,22,0.14,Connemara Supplies,Mayo,Yes,12.15,1,30,6,277,4
Irish Stew,Food ,466,3,21,0.03,Emerald Foods Ltd,Cork,Yes,5.47,6,14,1,196,1
Sticky Toffee Pudding,Dessert ,391,7,16,0.12,Claddagh Provisions,Galway,Yes,4.36,6,7,8,239,0
Heineken,Beverages,167,22,27,0.07,Connemara Supplies,Mayo,Yes,7.83,4,14,4,80,6
Irish Stew,Food ,342,11,12,0.04,Emerald Foods Ltd,Cork,Yes,13.86,1,3,2,228,13
Onion Rings,Food ,25,6,5,0.06,Emerald Foods Ltd,Cork,Yes,15.19,3,7,3,90,1
Rioja,Beverages,423,18,17,0.12,Connemara Supplies,Mayo,Yes,1.22,2,14,7,17,13
Boxty,Food ,358,24,12,0.15,Green Isle Distributors,Dublin,No,19.56,3,14,3,135,31
Boxty,Food ,283,9,13,0.08,Shannon Valley Produce,Limerick,No,2.79,6,3,5,186,9
Sauvignon Blanc,Beverages,123,23,16,0.04,Green Isle Distributors,Dublin,No,16.39,6,14,7,249,2
Corned Beef,Food ,86,9,28,0.01,Shannon Valley Produce,Limerick,No,12.41,3,14,2,124,0
Irish Coffee,Beverages,246,7,14,0.11,Shannon Valley Produce,Limerick,No,9.94,1,7,2,171,2
Smithwick's,Beverages,272,1,23,0.11,Shannon Valley Produce,Limerick,No,16.96,3,3,6,245,19
Pepperoni Pizza,Food ,429,12,14,0.13,Connemara Supplies,Mayo,Yes,13.34,4,3,4,270,50
